si,ri,avg_community_size,community_count,sybil_wallet_count
0.1,520,7.023356401384083,1156,8119
0.1,530,7.030434782608696,1150,8085
0.1,540,7.000869565217391,1150,8051
0.1,550,6.94300518134715,1158,8040
0.1,560,6.9342560553633215,1156,8016
0.1,570,6.940663176265271,1146,7954
0.1,580,6.904679376083189,1154,7968
0.1,590,6.872727272727273,1155,7938
0.1,600,6.849480968858131,1156,7918
0.1,610,6.843018213356461,1153,7890
0.1,620,6.781896551724138,1160,7867
0.1,630,6.742906276870164,1163,7842
0.1,640,6.751730103806229,1156,7805
0.1,650,6.7924693520140105,1142,7757
0.1,660,6.68307426597582,1158,7739
0.1,670,6.696891191709844,1158,7755
0.1,680,6.7517543859649125,1140,7697
0.1,690,6.670710571923744,1154,7698
0.1,700,6.655979202772963,1154,7681
0.1,710,6.5994832041343665,1161,7662
0.1,720,6.55889939810834,1163,7628
0.1,730,6.496598639455782,1176,7640
0.1,740,6.539982803095443,1163,7606
0.1,750,6.533218291630716,1159,7572
0.1,760,6.490533562822719,1162,7542
0.1,770,6.47680412371134,1164,7539
0.1,780,6.448246364414029,1169,7538
0.1,790,6.4369098712446355,1165,7499
0.1,800,6.434108527131783,1161,7470
0.1,810,6.421551724137931,1160,7449
0.1,820,6.351535836177474,1172,7444
0.1,830,6.311489361702128,1175,7416
0.1,840,6.344473007712082,1167,7404
0.1,850,6.366379310344827,1160,7385
0.1,860,6.299145299145299,1170,7370
0.1,870,6.276360544217687,1176,7381
0.1,880,6.276778063410454,1167,7325
0.1,890,6.291379310344827,1160,7298
0.1,900,6.24935952177626,1171,7318
0.1,910,6.2086882453151615,1174,7289
0.1,920,6.187074829931973,1176,7276
0.1,930,6.1988003427592115,1167,7234
0.1,940,6.15982905982906,1170,7207
0.1,950,6.1563573883161515,1164,7166
0.1,960,6.152323580034423,1162,7149
0.1,970,6.129502572898799,1166,7147
0.1,980,6.1061643835616435,1168,7132
0.1,990,6.157986111111111,1152,7094
0.2,0,6.292073832790445,921,5795
0.2,10,15.192755498059508,773,11744
0.2,20,13.073947667804322,879,11492
0.2,30,11.860147213459516,951,11279
0.2,40,11.150602409638553,996,11106
0.2,50,10.588803088803088,1036,10970
0.2,60,10.194156456173422,1061,10816
0.2,70,9.923791821561338,1076,10678
0.2,80,9.74074074074074,1080,10520
0.2,90,9.496809480401094,1097,10418
0.2,100,9.196253345227476,1121,10309
0.2,110,9.195671776375113,1109,10198
0.2,120,9.042039355992845,1118,10109
0.2,130,8.837434094903339,1138,10057
0.2,140,8.714160839160838,1144,9969
0.2,150,8.68838028169014,1136,9870
0.2,160,8.509598603839441,1146,9752
0.2,170,8.490765171503957,1137,9654
0.2,180,8.375874125874127,1144,9582
0.2,190,8.357959542656113,1137,9503
0.2,200,8.257443082311735,1142,9430
0.2,210,8.21084864391951,1143,9385
0.2,220,8.14061135371179,1145,9321
0.2,230,8.09841827768014,1138,9216
0.2,240,8.027097902097902,1144,9183
0.2,250,7.986853637160386,1141,9113
