from_address,to_address,_col2
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x3e051a6f209318d2be3306a0ab2afb7eb2a3b025,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xb701c26ccd0101872ec11eab00108c5a1f1231a2,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x0d754d85b3cec2ed304cdb2542c6a040104dc9b3,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x58f1598ddcd73cdf9484a2818af861fee5ef5404,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x9cf57c6a5c268e73dea62b37e83642d5fed1798f,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x1464f6e114d7b08c02565e064ccc7d85c53e849f,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xc4056938f53a7208d8e0db4ed79e253bdbe07d22,1
0xfc33d4910860258495f63cd79bb91354bf8bbb96,0xc1092e414088d3110a9262ea8a3093d50f5cfe9e,1
0x654d232571d0257e7fdd8db522c076e06e87177a,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0x4302644f438d78ce467debab86280c53e9e1905e,0xa79589963a1c233ba05cece4b7c85f9aec140cd7,1
0x9862b4624211e05d4b762ad0dd4117781fbd49f5,0xc31051545e29f1332cb73bc69ec086b770c1ac88,1
0x789b56fde60678bfc3786474de23126a0b45ed02,0x31031eeaaedd39ed8b06deca903cc7102678df80,1
0x9582fe22ef4b028f3729dd2faa603cced409f934,0x9b17a7ae5c965a5225a6b6adb7019f04aa2ad463,1
0x801857b9bdefdd1fc47014c1f2bca6c7b672e47e,0x3fe4a8b84d0946ffed886ead125e555372cc4405,3
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x5a41a525c2e0ce736face0fe115495fdb10c7991,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x3bc4c5bd38c3cf68a89ed67fe7e5c14316d3bc5e,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x1f1bab9c578d92a10e2a061f86a9e6f74f25a8b5,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x2c3800dfe791e87df6c03b07cd4a604c798520d0,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xe035147122da89ecab2fef1fc3b05d0666782de2,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x1195ef07d1c3c6b41734038f4c1c13ae354c656a,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xb120b7aaa2cdde88b09333145ae896eca233db93,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x4302644f438d78ce467debab86280c53e9e1905e,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x5e4a65366a98b63403a19082f451b79ef4ada8a5,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xde62eaca3a0adbea5253483ec7c675cb65b6e45c,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x85d9fdeb8b54faeb4ec1ac8a6142977395633224,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x93f9d8bdeb6e0b8895dfd0b1851b6ff5e2b2b944,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x62086244bd657933150b209f33c3ee2b66fbad67,1
0x94343b6838658ec2034d617ad9f7158bff5af436,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0x76e1c6becdaa4424f851035de48bd3d3fe9d8b9c,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
